X,Y,OBJECTID,Code,Power_Plant_Name,Utility_Name,Utility_ID,Sector_Name,City,County,State,Zip,Street_Address,PrimSource,Install_MW,Total_MW,Coal_MW,NG_MW,Crude_MW,Hydro_MW,HydroPS_MW,Nuclear_MW,Solar_MW,Wind_MW,Source_Desc,Technology_Desc,Data_Source,Period,Latitude,Longitude,Geoth_MW,Battery_MW,Others_MW,Biomass_MW
-114.989167,42.681944,222,56441,Salmon Falls Wind Park,Idaho Wind Partners 1 LLC,56592,IPP Non-CHP,Hagerman,Twin Falls,Idaho,83332,Section 30 Twp 08S Range 13E,wind,21,21,0,0,0,0,0,0,0,21,Wind = 21 MW,Onshore Wind Turbine,"EIA-860, EIA-860M and EIA-923",202001,42.681944,-114.989167,0,0,0,0
-114.967778,42.870278,223,56442,Thousand Springs Wind Park,Idaho Wind Partners 1 LLC,56592,IPP Non-CHP,Hagerman,Twin Falls,Idaho,83332,Section 19 Twp 6 Range 13E,wind,12,12,0,0,0,0,0,0,0,12,Wind = 12 MW,Onshore Wind Turbine,"EIA-860, EIA-860M and EIA-923",202001,42.870278,-114.967778,0,0,0,0
-114.969342,42.836854,224,56443,Tuana Gulch Wind Park,Idaho Wind Partners 1 LLC,56592,IPP Non-CHP,Hagerman,Twin Falls,Idaho,83332,Section 19 Twp 7 Range 12 E,wind,10.5,10.5,0,0,0,0,0,0,0,10.5,Wind = 10.5 MW,Onshore Wind Turbine,"EIA-860, EIA-860M and EIA-923",202001,42.836854,-114.969342,0,0,0,0
-121.6672,37.805,225,56446,Buena Vista Energy LLC,"Leeward Asset Management, LLC",50123,IPP Non-CHP,Byron,Contra Costa,California,94514,7601 Byron Hot Springs Rd,wind,38,38,0,0,0,0,0,0,0,38,Wind = 38 MW,Onshore Wind Turbine,"EIA-860, EIA-860M and EIA-923",202001,37.805,-121.6672,0,0,0,0
-155.850382,20.257252,226,56447,Hawi Wind Farm,"EDF Renewable Asset Holdings, Inc.",57170,IPP Non-CHP,Hawi,Hawaii,Hawaii,96719,Upol 8 Road,wind,10.6,10.6,0,0,0,0,0,0,0,10.6,Wind = 10.6 MW,Onshore Wind Turbine,"EIA-860, EIA-860M and EIA-923",202001,20.257252,-155.850382,0,0,0,0
-67.8111,46.54422,227,56448,Mars Hill Wind Farm Project,"First Wind O&M, LLC",59155,IPP Non-CHP,Mars Hill,Aroostook,Maine,4758,34 Tower Road,wind,42,42,0,0,0,0,0,0,0,42,Wind = 42 MW,Onshore Wind Turbine,"EIA-860, EIA-860M and EIA-923",202001,46.54422,-67.8111,0,0,0,0
-156.551,20.81421,228,56449,Kaheawa Pastures Wind Farm,"First Wind O&M, LLC",59155,IPP Non-CHP,Maalaea,Maui,Hawaii,96753,Maalaea,wind,30,30,0,0,0,0,0,0,0,30,Wind = 30 MW,Onshore Wind Turbine,"EIA-860, EIA-860M and EIA-923",202001,20.81421,-156.551,0,0,0,0
-89.173056,41.643611,229,56450,GSG LLC,"Leeward Asset Management, LLC",50123,IPP Non-CHP,West Brooklyn,Lee,Illinois,61378,2612 Shady Oaks Road,wind,80,80,0,0,0,0,0,0,0,80,Wind = 80 MW,Onshore Wind Turbine,"EIA-860, EIA-860M and EIA-923",202001,41.643611,-89.173056,0,0,0,0
-78.579444,40.383889,230,56451,Allegheny Ridge Wind Farm,"Leeward Asset Management, LLC",50123,IPP Non-CHP,Portage,Cambria,Pennsylvania,15946,1501 Gillespie Ave,wind,80,80,0,0,0,0,0,0,0,80,Wind = 80 MW,Onshore Wind Turbine,"EIA-860, EIA-860M and EIA-923",202001,40.383889,-78.579444,0,0,0,0
-101.219397,32.92544,231,56457,Post Wind Farm LP,FPL Energy Red Canyon LLC,54870,IPP Non-CHP,Fluvanna,Borden,Texas,79517,423 Country Road,wind,84,84,0,0,0,0,0,0,0,84,Wind = 84 MW,Onshore Wind Turbine,"EIA-860, EIA-860M and EIA-923",202001,32.92544,-101.219397,0,0,0,0
-96.3444,44.2667,232,56459,MinnDakota Wind LLC,Avangrid Renewables LLC,15399,IPP Non-CHP,Ivanhoe,Lincoln,Minnesota,57026,21006 486th Avenue,wind,150,150,0,0,0,0,0,0,0,150,Wind = 150 MW,Onshore Wind Turbine,"EIA-860, EIA-860M and EIA-923",202001,44.2667,-96.3444,0,0,0,0
-102.8622,37.6735,233,56460,Twin Buttes Wind Project,Avangrid Renewables LLC,15399,IPP Non-CHP,Lamar,Bent,Colorado,81052,31965 county Road,wind,75,75,0,0,0,0,0,0,0,75,Wind = 75 MW,Onshore Wind Turbine,"EIA-860, EIA-860M and EIA-923",202001,37.6735,-102.8622,0,0,0,0
-117.7772,46.3747,234,56466,Marengo Wind Plant,PacifiCorp,14354,Electric Utility,Dayton,Columbia,Washington,99328,336 McGee Rd,wind,234,234,0,0,0,0,0,0,0,234,Wind = 234 MW,Onshore Wind Turbine,"EIA-860, EIA-860M and EIA-923",202001,46.3747,-117.7772,0,0,0,0
-120.5042,45.5836,235,56468,Klondike Windpower III,Avangrid Renewables LLC,15399,IPP Non-CHP,Wasco,Sherman,Oregon,97065,99436 Klondike Lane,wind,297.5,297.5,0,0,0,0,0,0,0,297.5,Wind = 297.5 MW,Onshore Wind Turbine,"EIA-860, EIA-860M and EIA-923",202001,45.5836,-120.5042,0,0,0,0
-76.1292,40.855,236,56470,Locust Ridge,Avangrid Renewables LLC,15399,IPP Non-CHP,Mahanoy City,Schuylkill,Pennsylvania,17948,270 Brandonville Rd,wind,26,26,0,0,0,0,0,0,0,26,Wind = 26 MW,Onshore Wind Turbine,"EIA-860, EIA-860M and EIA-923",202001,40.855,-76.1292,0,0,0,0
-101.302637,31.991442,237,56479,Sand Bluff Wind Farm,RWE Renewables Americas LLC,56215,IPP Non-CHP,Big Spring,Glasscock,Texas,79720,893 N. McDonald Rd,wind,90,90,0,0,0,0,0,0,0,90,Wind = 90 MW,Onshore Wind Turbine,"EIA-860, EIA-860M and EIA-923",202001,31.991442,-101.302637,0,0,0,0
-99.6564,32.5144,238,56483,Post Oak Wind LLC,Mesquite Wind LLC,54759,IPP Non-CHP,Abilene,Shackelford,Texas,79601,299 FM 604,wind,200,200,0,0,0,0,0,0,0,200,Wind = 200 MW,Onshore Wind Turbine,"EIA-860, EIA-860M and EIA-923",202001,32.5144,-99.6564,0,0,0,0
-100.176986,32.318221,239,56484,Buffalo Gap 2 Wind Farm,AES Wind Generation Inc,19740,IPP Non-CHP,Merkel,Nolan,Texas,79536,10718 FM 89,wind,232.5,232.5,0,0,0,0,0,0,0,232.5,Wind = 232.5 MW,Onshore Wind Turbine,"EIA-860, EIA-860M and EIA-923",202001,32.318221,-100.176986,0,0,0,0
-120.603414,45.653745,240,56485,Biglow Canyon Wind Farm,Portland General Electric Co,15248,Electric Utility,Wasco,Sherman,Oregon,97065,96900 Herin Lane,wind,449.7,449.7,0,0,0,0,0,0,0,449.7,Wind = 449.7 MW,Onshore Wind Turbine,"EIA-860, EIA-860M and EIA-923",202001,45.653745,-120.603414,0,0,0,0
-120.341883,45.815467,241,56487,White Creek Wind Farm,White Creek Wind 1 LLC,55907,IPP Non-CHP,Roosevelt,Klickitat,Washington,99356,1131 Dot Road,wind,204,204,0,0,0,0,0,0,0,204,Wind = 204 MW,Onshore Wind Turbine,"EIA-860, EIA-860M and EIA-923",202001,45.815467,-120.341883,0,0,0,0
-98.160159,38.879936,242,56488,Smoky Hills Wind Project Phase I,Smoky Hills Wind Farm I LLC,55886,IPP Non-CHP,Lincoln,Lincoln,Kansas,67455,223 North Highway 14,wind,100.8,100.8,0,0,0,0,0,0,0,100.8,Wind = 100.8 MW,Onshore Wind Turbine,"EIA-860, EIA-860M and EIA-923",202001,38.879936,-98.160159,0,0,0,0
-84.344168,36.127092,243,56493,Buffalo Mountain Energy Center,Invenergy Services LLC,49893,IPP Non-CHP,Oliver Springs,Anderson,Tennessee,37840,1980 Windrock Rd,wind,27,27,0,0,0,0,0,0,0,27,Wind = 27 MW,Onshore Wind Turbine,"EIA-860, EIA-860M and EIA-923",202001,36.127092,-84.344168,0,0,0,0
-92.6272,43.6861,244,56494,Prairie Star Wind Farm,High Prairie Wind Farm II LLC,54904,IPP Non-CHP,Grand Meadow,Mower,Minnesota,55936,308 4th Ave NE,wind,100.6,100.6,0,0,0,0,0,0,0,100.6,Wind = 100.6 MW,Onshore Wind Turbine,"EIA-860, EIA-860M and EIA-923",202001,43.6861,-92.6272,0,0,0,0
-79.2094,39.2175,245,56495,NedPower Mount Storm,NedPower Mt Storm LLC,62810,IPP Non-CHP,Mount Storm,Grant,West Virginia,26739,1453 Power Station Hwy,wind,264,264,0,0,0,0,0,0,0,264,Wind = 264 MW,Onshore Wind Turbine,"EIA-860, EIA-860M and EIA-923",202001,39.2175,-79.2094,0,0,0,0
-94.7467,42.5842,246,56501,Pomeroy Wind Farm,MidAmerican Energy Co,12341,Electric Utility,Fonda,Pocahontas,Iowa,50540,13411 630th St,wind,286.4,296,0,0,0,0,0,0,0,296,Wind = 296 MW,Onshore Wind Turbine,"EIA-860, EIA-860M and EIA-923",202001,42.5842,-94.7467,0,0,0,0
-100.9952,32.7204,247,56506,Scurry County Wind LP,Invenergy Services LLC,49893,IPP Non-CHP,Snyder,Scurry,Texas,79549,6543 E Hwy 180,wind,130.5,130.5,0,0,0,0,0,0,0,130.5,Wind = 130.5 MW,Onshore Wind Turbine,"EIA-860, EIA-860M and EIA-923",202001,32.7204,-100.9952,0,0,0,0
-95.4683,40.4535,248,56536,Cow Branch,"Cow Branch Wind Power, LLC",55734,IPP Non-CHP,Tarkio,Atchison,Missouri,64491,21225 US Highway 136,wind,50.4,50.4,0,0,0,0,0,0,0,50.4,Wind = 50.4 MW,Onshore Wind Turbine,"EIA-860, EIA-860M and EIA-923",202001,40.4535,-95.4683,0,0,0,0
-94.6722,40.2572,249,56537,Conception,"CR Clearing, LLC",55735,IPP Non-CHP,Stanberry,Nodaway,Missouri,64499,33513 State Hwy J,wind,50.4,50.4,0,0,0,0,0,0,0,50.4,Wind = 50.4 MW,Onshore Wind Turbine,"EIA-860, EIA-860M and EIA-923",202001,40.2572,-94.6722,0,0,0,0
-95.54,40.4144,250,56538,Loess Hills,Loess Hills Wind Farm LLC,55736,IPP Non-CHP,Rock Port,Atchison,Missouri,64482,907 West 4th St,wind,5,5,0,0,0,0,0,0,0,5,Wind = 5 MW,Onshore Wind Turbine,"EIA-860, EIA-860M and EIA-923",202001,40.4144,-95.54,0,0,0,0
-95.9222,43.9358,251,56543,Eastridge Wind Project,Eastridge Wind Project,62005,IPP Non-CHP,Porter,Murray,Minnesota,56280,401 Lone Tree Street,wind,10.4,10.4,0,0,0,0,0,0,0,10.4,Wind = 10.4 MW,Onshore Wind Turbine,"EIA-860, EIA-860M and EIA-923",202001,43.9358,-95.9222,0,0,0,0
-95.1306,43.9578,252,56544,Windom Wind Project,Midwest Power Partners LLC,60661,IPP Non-CHP,Bingham Lake,Cottonwood,Minnesota,56118,50601 365th Street,wind,15.6,15.6,0,0,0,0,0,0,0,15.6,Wind = 15.6 MW,Onshore Wind Turbine,"EIA-860, EIA-860M and EIA-923",202001,43.9578,-95.1306,0,0,0,0
-94.4869,40.1006,253,56555,Bluegrass Ridge,"Wind Capital Holdings, LLC",55737,IPP Non-CHP,King City,Gentry,Missouri,64463,4288 480th Rd,wind,56.7,56.7,0,0,0,0,0,0,0,56.7,Wind = 56.7 MW,Onshore Wind Turbine,"EIA-860, EIA-860M and EIA-923",202001,40.1006,-94.4869,0,0,0,0
-101.3864,36.4144,254,56560,Porterhouse Wind (4) LLC,GlidePath Power Operations LLC,61728,IPP Non-CHP,Gruver,Hansford,Texas,79040,9489 County Rd. H,wind,79.8,79.8,0,0,0,0,0,0,0,79.8,Wind = 79.8 MW,Onshore Wind Turbine,"EIA-860, EIA-860M and EIA-923",202001,36.4144,-101.3864,0,0,0,0
-101.8761,36.4453,255,56561,Filet Wind (5) LLC,GlidePath Power Operations LLC,61728,IPP Non-CHP,Stratford,Sherman,Texas,79084,6700 US Hwy 54,wind,10,10,0,0,0,0,0,0,0,10,Wind = 10 MW,Onshore Wind Turbine,"EIA-860, EIA-860M and EIA-923",202001,36.4453,-101.8761,0,0,0,0
-101.8222,36.4669,256,56562,Tenderloin Wind (6) LLC,GlidePath Power Operations LLC,61728,IPP Non-CHP,Texhoma,Sherman,Texas,73960,15090 FM 119,wind,10,10,0,0,0,0,0,0,0,10,Wind = 10 MW,Onshore Wind Turbine,"EIA-860, EIA-860M and EIA-923",202001,36.4669,-101.8222,0,0,0,0
-103.436,40.986,257,56563,Peetz Table Wind Energy,FPL Peetz Table Wind Energy,55785,IPP Non-CHP,Peetz,Logan,Colorado,80747,9500 County Rd. 78,wind,199.5,199.5,0,0,0,0,0,0,0,199.5,Wind = 199.5 MW,Onshore Wind Turbine,"EIA-860, EIA-860M and EIA-923",202001,40.986,-103.436,0,0,0,0
-118.3789,35.1161,258,56570,Terra-Gen VG Wind LLC,Terra-Gen Operating Co-Wind,2770,IPP Non-CHP,Tehachapi,Kern,California,93561,13000 Jameson Road,wind,7.4,7.4,0,0,0,0,0,0,0,7.4,Wind = 7.4 MW,Onshore Wind Turbine,"EIA-860, EIA-860M and EIA-923",202001,35.1161,-118.3789,0,0,0,0
