,X,Y,OBJECTID,Code,Power_Plant_Name,Utility_Name,Utility_ID,Sector_Name,City,County,State,Zip,Street_Address,PrimSource,Install_MW,Total_MW,Coal_MW,NG_MW,Crude_MW,Hydro_MW,HydroPS_MW,Nuclear_MW,Solar_MW,Wind_MW,Source_Desc,Technology_Desc,Data_Source,Period,Latitude,Longitude,Geoth_MW,Battery_MW,Others_MW,Biomass_MW,x_en,y_en,LAT,LON
338,-101.3986,32.1408,339,56783,Elbow Creek Wind Project LLC,Elbow Creek Wind Project LLC,55981,IPP Non-CHP,Forsan,Howard,Texas,79733,9919 Kay,wind,121.9,121.9,0,0.0,0,0,0,0,0.0,121.9,Wind = 121.9 MW,Onshore Wind Turbine,"EIA-860, EIA-860M and EIA-923",202001,32.1408,-101.3986,0,0.0,0,0,-11287640.519150829,3781807.0386105166,32.1408,-101.3986
339,-97.6644,39.4375,340,56784,Cloud County Wind Farm,"Cloud County Windfarm, LLC",55990,IPP Non-CHP,Concordia,Cloud,Kansas,66901,1409 Iron Road,wind,201.0,201.0,0,0.0,0,0,0,0,0.0,201.0,Wind = 201 MW,Onshore Wind Turbine,"EIA-860, EIA-860M and EIA-923",202001,39.4375,-97.6644,0,0.0,0,0,-10871951.276630588,4784534.859637666,39.4375,-97.6644
340,-120.125,45.7119,341,56789,Pebble Springs Wind LLC,Avangrid Renewables LLC,15399,IPP Non-CHP,Wasco,Gilliam,Oregon,97812,74623 Rhea Road,wind,98.7,98.7,0,0.0,0,0,0,0,0.0,98.7,Wind = 98.7 MW,Onshore Wind Turbine,"EIA-860, EIA-860M and EIA-923",202001,45.7119,-120.125,0,0.0,0,0,-13372253.831541989,5734300.582231134,45.7119,-120.125
341,-120.5744,45.52,342,56790,Hay Canyon Wind Power LLC,Avangrid Renewables LLC,15399,IPP Non-CHP,Moro,Sherman,Oregon,97039,98100 Baseline Lane,wind,100.8,100.8,0,0.0,0,0,0,0,0.0,100.8,Wind = 100.8 MW,Onshore Wind Turbine,"EIA-860, EIA-860M and EIA-923",202001,45.52,-120.5744,0,0.0,0,0,-13422280.810704485,5703759.727613576,45.52,-120.5744
342,-116.5527,33.9393,343,56791,Dillon Wind LLC,Avangrid Renewables LLC,15399,IPP Non-CHP,North Palm Springs,Riverside,California,92258,19020 North Indian Ave Ste 7-C,wind,45.0,45.0,0,0.0,0,0,0,0,0.0,45.0,Wind = 45 MW,Onshore Wind Turbine,"EIA-860, EIA-860M and EIA-923",202001,33.9393,-116.5527,0,0.0,0,0,-12974587.214581175,4020654.408377792,33.9393,-116.5527
343,-96.4779,44.4328,344,56792,Buffalo Ridge I LLC,Avangrid Renewables LLC,15399,IPP Non-CHP,Elkton,Brookings,South Dakota,57026,21006 486th Avenue,wind,50.4,50.4,0,0.0,0,0,0,0,0.0,50.4,Wind = 50.4 MW,Onshore Wind Turbine,"EIA-860, EIA-860M and EIA-923",202001,44.4328,-96.4779,0,0.0,0,0,-10739870.70080437,5532665.102064629,44.4328,-96.4779
344,-94.9497,43.7542,345,56793,Elm Creek Wind LLC,Avangrid Renewables LLC,15399,IPP Non-CHP,Trimont,Jackson,Minnesota,56176,231 220th  Street,wind,99.0,99.0,0,0.0,0,0,0,0,0.0,99.0,Wind = 99 MW,Onshore Wind Turbine,"EIA-860, EIA-860M and EIA-923",202001,43.7542,-94.9497,0,0.0,0,0,-10569752.254974088,5427482.526809787,43.7542,-94.9497
345,-96.0784,44.1238,346,56794,Moraine II Wind LLC,Avangrid Renewables LLC,15399,IPP Non-CHP,Woodstock,Pipestone,Minnesota,56186,4 151st Street,wind,49.5,49.5,0,0.0,0,0,0,0,0.0,49.5,Wind = 49.5 MW,Onshore Wind Turbine,"EIA-860, EIA-860M and EIA-923",202001,44.1238,-96.0784,0,0.0,0,0,-10695398.564232456,5484620.548943543,44.1238,-96.0784
346,-97.5077,27.0702,347,56795,Penascal Wind Power LLC,Avangrid Renewables LLC,15399,IPP Non-CHP,Sarita,Kenedy,Texas,78385,581 South Highway 77,wind,201.6,201.6,0,0.0,0,0,0,0,0.0,201.6,Wind = 201.6 MW,Onshore Wind Turbine,"EIA-860, EIA-860M and EIA-923",202001,27.0702,-97.5077,0,0.0,0,0,-10854507.512423282,3132245.052416262,27.0702,-97.5077
347,-79.7271,39.7513,348,56796,South Chestnut LLC,Avangrid Renewables LLC,15399,IPP Non-CHP,Farmington,Fayette,Pennsylvania,15437,1745 Skyline Drive,wind,50.4,50.4,0,0.0,0,0,0,0,0.0,50.4,Wind = 50.4 MW,Onshore Wind Turbine,"EIA-860, EIA-860M and EIA-923",202001,39.7513,-79.7271,0,0.0,0,0,-8875180.1744244,4829867.41666233,39.7513,-79.7271
348,-92.6131,43.4839,349,56797,Pioneer Prairie Wind Farm,"Pioneer Prairie Wind Farm I, LLC",55992,IPP Non-CHP,McIntire,Mitchell,Iowa,50455,4968 Valley Ave,wind,300.0,300.0,0,0.0,0,0,0,0,0.0,300.0,Wind = 300 MW,Onshore Wind Turbine,"EIA-860, EIA-860M and EIA-923",202001,43.4839,-92.6131,0,0.0,0,0,-10309643.132786525,5385918.817586667,43.4839,-92.6131
